publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
SEGA,"Third-Person, Action","Adrenium Games, Amaze Entertainment","Action-combat game, features seamless animations to match the show it's based on. Jack will move through four realms and 24 levels ranging from a village to a city from the future in Aku's universe, each with interactive backgrounds including sliceable ropes, breakable doors and secret passages. The enemy roster highlights Aku, Mad Jack and the Scotsman among 25 other creatures.

The primarily action-based game arms Jack with 25 signature moves, the ability to hurl shurikens, fire arrows from bows, and utilize four elemental swords. Players can even hand enemies their pink slip on life in a tongue-in-cheek bullet-time mode called ""Sakai Mode."" Created in collaboration with the show's creator, Genndy Tartakovsky, and the original voice cast.",Samurai Jack: The Shadow of Aku,http://www.ign.com/games/samurai-jack-the-shadow-of-aku/ps2-629579,http://ps2.ign.com/articles/501/501244p1.html,24.99 USD,5.2,PS2 GCN Xbox,"March 23, 2004","http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/kingdom-hearts/ps2-16467,http://www.ign.com/games/grand-theft-auto-san-andreas/ps2-611957,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Okay,6.9,Mild Realistic Violence,T for Teen,Mediocre
Nintendo,"Turn-Based, RPG",Genius Sonority,"Pokemon Colosseum for the Nintendo GameCube is the sequel to the popular Pokemon Stadium series on the N64. Connect your Game Boy Advance to your GameCube in order to battle with over 200 detailed 3D versions of Pokemon from the Sapphire and Ruby GBA games. As well as uploading characters into Colosseum, players are able to load exclusive Pokemon from the GameCube game and take them on the go with the Game Boy Advance. In addition to the tournament battle mode, Colosseum boasts a full adventure mode with a storyline. In this mode, players follow the scent of a mysterious organization that has been turning Pokemon into Dark Pokemon.",Pokemon Colosseum,http://www.ign.com/games/pokemon-colosseum/gcn-566822,http://cube.ign.com/articles/500/500909p1.html,19.99 USD,7.5,GCN,"March 22, 2004","http://www.ign.com/games/paper-mario-the-thousand-year-door/gcn-573664,http://www.ign.com/games/harvest-moon-a-wonderful-life/gcn-482323,http://www.ign.com/games/tales-of-symphonia/gcn-481670,http://www.ign.com/games/the-legend-of-zelda-the-wind-waker/gcn-17012,http://www.ign.com/games/super-smash-bros-melee/gcn-16387,http://www.ign.com/games/super-mario-sunshine/gcn-16713",Good,7.9,Mild Fantasy Violence,E for Everyone,Good
Sony Computer Entertainment,"Persistent Online, RPG","Square Enix, Square Enix","Squaresoft's legendary

series embarks on a new adventure where players from around the world are able to join forces for a persistent online quest. Gamers will control the fate of Vana'diel as they volunteer for missions to defend its nations and people. Customizable characters allow players to tailor physical attributes and skills to suit individual tastes as they select from five different races and 15 different jobs. Adventures span across 100 different areas such as mountains, deserts, oceans, castles and dungeons, and environments take on a life of their own as time and weather constantly change. As an added bonus, the Japanese expansion pack

has been included free of charge for American audiences.",Final Fantasy XI,http://www.ign.com/games/final-fantasy-xi/ps2-14009,http://ps2.ign.com/articles/500/500717p1.html,99.99 USD,8.8,PS2 Xbox 360 PC PC PC PS2,"March 23, 2004","http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/final-fantasy-x/ps2-14008,http://www.ign.com/games/final-fantasy-xii/ps2-488222,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Great,8.3,"Blood, Animated Violence, Realistic Violence",T for Teen,Great
Ubisoft,"First-Person, Shooter",Crytek Studios,"The game begins under mysterious circumstances where main character John Carver finds himself tied to a chair in the empty, rusted belly of a decrepit cargo ship. Thanks to the help of an unseen stranger, John's restraints are loosened and he sets out to escape his captors. From this point on you are in control of John's destiny. Far Cry offers a variety of ways to approach each challenging situation, where players can choose to rely on firepower, strategy and stealth. An amazing new game engine (the CryENGINE) features breathtaking graphics, highly intelligent computer AI, and a host of other visual effects and technological advancements.",Far Cry,http://www.ign.com/games/far-cry/pc-482383,http://pc.ign.com/articles/500/500550p1.html,39.99 USD,9.2,PC PS3 Xbox 360,"March 23, 2004","http://www.ign.com/games/ghost-recon-wildlands/pc-20038799,http://www.ign.com/games/tom-clancys-the-division/pc-20004178,http://www.ign.com/games/borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler/pc-20007853,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Great,8.8,"Blood, Intense Violence",M for Mature,Amazing
Disney Internet Group,Platformer,Disney Internet Group,,The Lion King,http://www.ign.com/games/the-lion-king/cell-672482,http://wireless.ign.com/articles/503/503363p1.html,,3.5,Cell GG GB SMS PC NES Amiga Gen SNES,"Sep 9, 2003","http://www.ign.com/games/sonic-the-hedgehog-1/cell-811341,http://www.ign.com/games/earthworm-jim-hd/cell-26624,http://www.ign.com/games/betty-big-head/cell-55382,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",Disaster,0.3,,,Awful
Konami,Card,Konami Studios,"The Dawn of Destiny marks the debut of the top-selling Yu-Gi-Oh! franchise on the Xbox. Xbox players can enjoy the unique interactive Yu-Gi-Oh! experience in the only game that brings the rules and gameplay of the popular trading card game to a 3D world. A card battling game at its heart, Yu-Gi-Oh! The Dawn of Destiny thrusts players into the heat of the action where they must duel against challenging foes and powerful monsters. Featuring elaborately rendered 3D graphics, the game brings the monsters from the hit franchise to life before players' eyes. Also available in the Xbox game are over 1,000 Yu-Gi-Oh! cards, including exclusive cards that have never appeared in any other Yu-Gi-Oh! videogame.",Yu-Gi-Oh! The Dawn of Destiny,http://www.ign.com/games/yu-gi-oh-the-dawn-of-destiny/xbox-482230,http://xbox.ign.com/articles/503/503519p1.html,19.99 USD,5.0,Xbox,"March 23, 2004","http://www.ign.com/games/konami-all-in-poker/xbox-801053,http://www.ign.com/games/world-championship-poker-2-featuring-howard-lederer/xbox-746735,http://www.ign.com/games/world-series-of-poker/xbox-753324,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Okay,6.3,Mild Fantasy Violence,E for Everyone,Mediocre
Global Star,Racing,"Studio 33, SIE Europe","Throughout three explosive PSone titles, Destruction Derby strapped you into powerful cars and encouraged you to dash and smash your way to the chequered flag. At long last, the PS2 offspring rumbles out of the pits and as well as being a highly polished, purring powerhouse of stock-car action, you can take on the world thanks to the online multiplayer option. DDA is the WWE of racing games with over-the-top drivers, muscle-bound motors and insane tracks. Race to the finish or smash the opposition to pieces, but whichever you choose you can kiss goodbye to your No Claims Bonus. Features 20 fully deformable and customisable low-riding cars, a huge range of unlockable characters, four-player split-screen battles, and up to 20 players online via broadband connection.",Destruction Derby Arenas,http://www.ign.com/games/destruction-derby-arenas/ps2-546181,http://ps2.ign.com/articles/502/502914p1.html,19.99 USD,4.5,PS2,"March 29, 2004","http://www.ign.com/games/gran-turismo-3-a-spec/ps2-13846,http://www.ign.com/games/action-replay-ultimate-codes-need-for-speed-underground-2/ps2-679032,http://www.ign.com/games/need-for-speed-most-wanted/ps2-740897,http://www.ign.com/games/amplitude/ps2-17285,http://www.ign.com/games/mortal-kombat-shaolin-monks/ps2-709115,http://www.ign.com/games/atari-racing-collection/ps2-483265,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Okay,6.6,"Mild Language, Mild Violence, Suggestive Themes",T for Teen,Bad
DreamCatcher Interactive,"First-Person, RPG","Arkane Studios, Wizarbox","First-person roleplaying game, originally released for PC. Arx is the name of an underground urban environment where the player's adventure begins: in the realm of medieval fantasy. Be prepared to enter a world where the sun has slowly retreated and completely vanished. A world taken over by an unfriendly and threatening atmosphere, imposing the exodus of Arx inhabitants to the obscure meanders of a dwarf mine in order to survive. Arx Fatalis offers a number of interactions with objects and NPCs, realistic action fights, a unique real-time spell casting system, character creation, dialogues, puzzles and countless environments to explore.",Arx Fatalis,http://www.ign.com/games/arx-fatalis/xbox-546677,http://xbox.ign.com/articles/503/503628p1.html,12.99 USD,7.8,Xbox PC,"Nov 14, 2003","http://www.ign.com/games/star-wars-knights-of-the-old-republic/xbox-480687,http://www.ign.com/games/star-wars-knights-of-the-old-republic-ii-the-sith-lords/xbox-679264,http://www.ign.com/games/the-elder-scrolls-iii-morrowind/xbox-16675,http://www.ign.com/games/halo-2/xbox-482228,http://www.ign.com/games/halo-combat-evolved/xbox-15922,http://www.ign.com/games/fable/xbox-16526",Good,7.6,Mature Sexual Themes,M for Mature,Good
Atlas Mobile,Puzzle,"Skunk Studios, Atlas Mobile",,QBz for Prizes!,http://www.ign.com/games/qbz-for-prizes/cell-672474,http://wireless.ign.com/articles/503/503356p1.html,,8.5,Cell,"Mar 1, 2004","http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/3d-tower-bloxx-deluxe/cell-14232300,http://www.ign.com/games/xxx-puzzle/cell-761657,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",,,,,Great
Hudson Soft,Action,FT Mobile,"This classic platformer (before there were platformers) starred a miner that explored caves, looking for treasure -- but all he finds are trouble from a group of evil monks. Because the Runner has no weapons, he must dig holes for the monks to tumble into. In time, the holes fill up, trapping the bad guys -- provided they don't scurry out quickly. This updated version for cell phones trades in the old Apple IIe visuals for something a little more bright and colorful. The Runner is back, and his mission is the same -- capture treasure while digging pits that will hopefully swallow up your pursuers.",Lode Runner,http://www.ign.com/games/lode-runner/cell-669194,http://wireless.ign.com/articles/503/503354p1.html,,9.0,Cell Mac iPod NES 7800 C64 400/800 Apple-II Cell Wii Wii U MSX2 PS PC,"Apr 1, 2004","http://www.ign.com/games/just-cause-2/cell-14280725,http://www.ign.com/games/rayman/cell-567023,http://www.ign.com/games/galaxy-on-fire-2/cell-14270785,http://www.ign.com/games/baldurs-gate/cell-688224,http://www.ign.com/games/puzzle-quest-challenge-of-the-warlords/cell-950646,http://www.ign.com/games/just-cause-2/cell-14280725",Okay,6.8,,,Amazing
