publisher,genres,developers,description,title,url,review_link,price,ign_score,platforms,release_date,related_games,community_score_phrase,community_score,rating_content,rating_category,ign_score_phrase
LucasArts,Racing,Lucas Learning,"You've never seen in

like this!

takes the high-speed turns, crazy jumps, and wild gadgets of big-headed cart racing and jumbles it together with the gravity defying hyperspaced pace of

for an entirely new take on the popular universe. As one of eight stylized personalities from the featured film franchise, players can zip through the galaxy on nine fully-detailed tracks (including Naboo, Endor, and Tattooine) while duking it out in four different battle arenas, implementing more than 25 useable items, and participating in five unique game modes. Released exclusively for the PlayStation 2.",Star Wars: Super Bombad Racing,http://www.ign.com/games/star-wars-super-bombad-racing/ps2-14727,http://ps2.ign.com/articles/164/164727p1.html,12.99 USD,7.8,PS2 PC DC,"April 24, 2001","http://www.ign.com/games/gran-turismo-3-a-spec/ps2-13846,http://www.ign.com/games/action-replay-ultimate-codes-need-for-speed-underground-2/ps2-679032,http://www.ign.com/games/need-for-speed-most-wanted/ps2-740897,http://www.ign.com/games/amplitude/ps2-17285,http://www.ign.com/games/mortal-kombat-shaolin-monks/ps2-709115,http://www.ign.com/games/atari-racing-collection/ps2-483265,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.2,"Animated Violence, Comic Mischief",E for Everyone,Good
DreamCatcher Interactive,Adventure,Revolution Software Ltd.,"A mysterious compound known as Blue Nephiline has been discovered in the former Soviet Republic of Volgia. It is rumored that the compound is a natural superconductor and using it would make Volgia's weapons more advanced than anything in the West. You take the role of British secret agent John Cord as he tries to discover the truth behind Blue Nephiline. As the game starts, Cord is captured and tortured. Seven of the game's nine missions are flashbacks that help explain how you got into this particular situation. As you work through the levels, your best weapon in avoiding guards, cameras, robots, and security systems is stealth rather than heavy weaponry.

The fate of the world is in your capable hands, and only you can discover the truth behind Blue Nephiline in In Cold Blood, a spy thriller set in the near future where you are John Cord, a MI6 Secret Service agent without a past. Play through nine action-packed missions and bring your betrayers to justice.",In Cold Blood,http://www.ign.com/games/in-cold-blood/pc-15768,http://pc.ign.com/articles/165/165768p1.html,29.99 USD,7.4,PC PS,"Mar 15, 2001","http://www.ign.com/games/recore/pc-20047415,http://www.ign.com/games/life-is-strange-episode-4/pc-20031273,http://www.ign.com/games/the-walking-dead-the-game/pc-100880,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.2,"Blood, Violence",T for Teen,Good
Fishtank Interactive,RPG,Nival Interactive,"From the creators of the Rage of Mages series (Allods in Europe) comes Evil Islands (formerly known as Allods 3: Redemption), where you play as a hero in the mysterious world of Allods and take on non-linear quests in a rich, fully 3D complex fantasy world, as you attempt to uncover the mysteries around the islands in a test of wits, ability to make the right decisions, and solve massive problems with small force.",Evil Islands: Curse of the Lost Soul,http://www.ign.com/games/evil-islands-curse-of-the-lost-soul/pc-14183,http://pc.ign.com/articles/164/164183p1.html,9.99 USD,8.7,PC,"Apr 16, 2001","http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Great,8.4,"Blood, Animated Violence, Realistic Blood, Realistic Violence",T for Teen,Great
Capcom,RPG,Capcom,"METAL WALKER is set in the distant future, where humans have discovered a new element called ""core."" This element is used to create highly intelligent and hard-working robots, which have become humanity's source of labor and protection. A group of robots decides that they should control the world's supply of core, and they ruthlessly murder your father and steal his robots. It's up to you to avenge your father's death in this side-scrolling RPG, traveling throughout the world in search of the gang of robots responsible for his death. You'll have to seek out data packets and clues to the gang's hideout from fallen enemies, as well as special core units that will upgrade your robot's abilities. The entire human race is counting on your bravery and battle skills in order to save the world from the threat of the mechanical militia in METAL WALKER.",Metal Walker,http://www.ign.com/games/metal-walker-167823/gbc-14818,http://gameboy.ign.com/articles/164/164818p1.html,31.99 USD,8.0,GBC,"February 6, 2001","http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",Good,7.8,No Descriptors,E for Everyone,Great
Tommo,Sports,Athena,"Do you really enjoy the sport of bowling, but just can't stand the ugly shoes? Have you ever wished you could bowl in your garage? In this sequel to fan-favorite SUPER BOWLING for the SNES, bowling has a whole new look and a whole new attitude. Choose a ball weighing from six to 16 pounds, adjust your power and hook, delicately pick a release point, and roll it on down the lane. SUPER BOWLING 64 features more characters than you can shake a stick at. In addition to the group of Japanese teens central to the game, you can play as a pixie, a blue giant, or a robotic penguin. Just to add to the offbeat nature of the game, bowling locations include a Japanese house, a brick-walled mansion, and a garage without gutters. If bowling is your sport, SUPER BOWLING 64 is your game.",Super Bowling,http://www.ign.com/games/super-bowling/n64-10932,http://ign64.ign.com/articles/160/160932p1.html,48.99 USD,6.7,N64 SNES,"January 16, 2000","http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933",Great,8.3,,E for Everyone,Okay
Jaleco,Adventure,Climax Graphics (JP),"A famous media mogul has issued a challenge: he'll award $1 million to anyone who can make it out of his latest horror theme park, ILLBLEED, alive. You are Eiko, the plucky young president of the local high school's horror club. Your mission is to rescue your three friends in ILLBLEED (and hopefully walk away with a cool $1 million to boot). With the park staffed by slashers, zombies, demons, and other horror movie denizens, you must use all of your senses to escape death whether it be by some horrible creature or by sheer fright. Gauges for your senses such as hearing, sight, and smell are featured to help you avoid trouble, and there's even a gauge for an otherworldly sixth sense. Try and make your way through the six stages of Horrorland and collect tickets to enter the final stage an area that no one has ever entered before. You're in for a bloody good time in ILLBLEED.",Illbleed,http://www.ign.com/games/illbleed/dc-14418,http://dreamcast.ign.com/articles/164/164418p1.html,49.99 USD,6.7,DC,"April 25, 2001","http://www.ign.com/games/dino-crisis/dc-15477,http://www.ign.com/games/the-ring-terrors-realm/dc-14989,http://www.ign.com/games/d2/dc-13964,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967",Okay,6.9,"Blood and Gore, Mature Sexual Themes, Violence",M for Mature,Okay
Activision,Action,"Neversoft Entertainment, Treyarch","Get ready to swing into free-roaming, web-slinging action with Spider-Man for the Sega Dreamcast. Supervillians Dr. Octopus and Venom are up to no good in the teeming Marvel-style metropolis of New York City. It's your heroic duty to bring order to chaos by bashing the bad guys, solving inventive puzzles, and of course, using your special web-spraying powers. Create a web-dome and shield yourself from multiple attackers, cover your fist with web-spikes for added punch, use your webby Zip-line to grab onto ceilings and girders, or simply tie up your foes in super strong netting. Not only will you engage in fierce fisticuffs with criminals and megavillians like Scorpion and Rhino, but you'll also climb walls and sneak past enemies with strategy and stealth. Your ""Spidey Sense"" warns you of impending danger and even lets you know from which direction it's coming with on-screen red arrows. As you play you can listen to the voice of Stan Lee himself, interact with Daredevil, the Black Cat, and your alter ego's grumpy boss at the Daily Bugle J. Jonah Jameson in Spider-Man from Treyarch and NeverSoft.",Spider-Man [2001],http://www.ign.com/games/spider-man-2000/dc-15779,http://dreamcast.ign.com/articles/165/165779p1.html,49.99 USD,8.4,DC Mac PS GBC N64 PC,"April 19, 2001","http://www.ign.com/games/shenmue/dc-14499,http://www.ign.com/games/shenmue-ii/dc-15624,http://www.ign.com/games/resident-evil-3-nemesis/dc-15478,http://www.ign.com/games/baldurs-gate/dc-12490,http://www.ign.com/games/nba-2k1/dc-14602,http://www.ign.com/games/marvel-vs-capcom-clash-of-super-heroes/dc-9967",Great,8.1,Animated Violence,E for Everyone,Great
Strategy First,Strategy,GSC Game World,"Cossacks allows becoming aware of historical events' large scale. Thus, grandiose battles of up to 8000 units may be conducted on single or network game maps. The game contains much historical data, and the full version includes a spacious encyclopedia about wars, battles, nations, technologies, armies, and units having been used in Europe in XVI-XVIII centuries.

More than 85 large-scale wars and battles of XVI-XVIII centuries are available for single-player and multiplayer. The most noteworthy are: Thirty Years War (1618-1648), the English revolution, the English and Dutch wars, the War for Spanish Succession, the Northern war, the War for Austrian Succession, the Seven Years War, the Ukrainian independence war (1648-1657), sea wars against pirates, etc.",Cossacks: European Wars,http://www.ign.com/games/cossacks-gold-edition/pc-15080,http://pc.ign.com/articles/165/165080p1.html,39.99 USD,7.5,PC,"Apr 24, 2001","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Good,7.7,Realistic Violence,T for Teen,Good
Activision,Sports,Handheld Games,"The fingerboard frenzy makes its way (appropriately enough) to hand-held gaming. Featuring X Concepts' line of miniature skateboard decks, TECH DECK SKATEBOARDING challenges you to pull off the same tricks that regular skaters do just smaller. You play as the inimitable Thumb Guy, a lovable mascot who can pull off the fingerboard moves with the best of ¿em. Featuring arcade-style play and animations, the game lets you whip out grinds, ollies, and flips with extreme flair. All of the licensed decks from real manufacturers are here, so you'll be skating in style on your Tony Hawk deck. You'll have access to a limited number of boards at the game's outset, but as you get further and further along the road to glory you'll be able to unlock more responsive outfits and other hidden goodies. With cool graphics, real decks, and totally original gameplay, it's hardcore skating for hardcore fans!",Tech Deck Skateboarding,http://www.ign.com/games/tech-deck-skateboarding-167922/gbc-15273,http://gameboy.ign.com/articles/165/165273p1.html,36.99 USD,4.0,GBC,March 2001,"http://www.ign.com/games/720/gbc-10768,http://www.ign.com/games/mario-tennis-gbc/gbc-14380,http://www.ign.com/games/ready-2-rumble-boxing/gbc-12329,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402",Bad,4.1,,E for Everyone,Bad
3DO,Sports,Team .366,"The first PlayStation 2 version of the award-winning baseball series is here.

offers all 30 major league ballparks for the 2001 season (including PNC Park and Miller Park) in addition to multiple roster sets from the current and previous seasons, 10000-polygon stadium models, and interactive crowds that react to the action on the diamond. Other features include 6000-polygon player models, 120 real life star faces, more than 1300 hand-drawn animations, and 300 special signature stances for batters and pitchers alike. Players will even be able to argue with umpires (and get ejected) after controversial plays and listen to on-field coaches and managers that help guide them through more difficult situations. Also available for the Sony PlayStation One and Windows PC.",High Heat Major League Baseball 2002,http://www.ign.com/games/high-heat-major-league-baseball-2002/ps2-15574,http://ps2.ign.com/articles/165/165574p1.html,37.99 USD,8.5,PS2 GBC GBA PS PC,"March 27, 2001","http://www.ign.com/games/madden-nfl-2001/ps2-14286,http://www.ign.com/games/tony-hawks-underground/ps2-545800,http://www.ign.com/games/tony-hawks-pro-skater-4/ps2-482065,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.7,No Descriptors,E for Everyone,Great
Konami,Music,Konami TYO,"One of the world's most influential games makes its way out of Japan for a home-based dance experience like no other. Using a big dance mat (sold separately), you'll step to the beat of the song playing, executing a specific set of moves to a tee. Your cues will come from the screen in the form of four columns of instructions that scroll upwards. Score points by nailing the timing of each step and getting the order of moves correct. The action will get faster and more furious as the game progresses, instructing you to pull off trickier combos in more limited time periods. As in the Japanese release of the game, a Diet mode shows you how many calories you're burning. To account for the steep learning curve, DANCE DANCE REVOLUTION even includes a Training mode to get you started. Packed with remixes of old songs and brand-new gems, the soundtrack boasts 27 danceable tunes. Though it's possible to play without the dance mat, working up a sweat is half the fun of this inventive game.",Dance Dance Revolution [2001],http://www.ign.com/games/ddr-festival-dance-dance-revolution/ps-11525,http://psx.ign.com/articles/161/161525p1.html,34.99 USD,9.3,PS Arcade Cell PC PC,March 2001,"http://www.ign.com/games/guitar-freaks/ps-12563,http://www.ign.com/games/bust-a-groove-2/ps-11939,http://www.ign.com/games/mtv-music-generator/ps-13748,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",Great,8.5,Mild Lyrics,E for Everyone,Amazing
Strategy First,Strategy,TimeGate,"Kohan: Immortal Sovereigns is a real-time fantasy wargame for up to 8 players. Set in the mystical world of Khaldun, players take on the role of a Kohan, a race of immortals. They were once the ruling power of the world, but have had their culture and society destroyed by a series of massive cataclysms. Their immortal nature prevents them from a eternal death though, and they have begun to resurface. Reborn and reawakened in a strange new world, unlike the one they once held dominion over. The player must come to grips with their lost glory, their current hardship, and their imminent destiny. It is the goal of the players to solve the riddle of their race?s destruction and return them to their former glory. A random map generator is included for multiplayer games.",Kohan: Immortal Sovereigns,http://www.ign.com/games/kohan-immortal-sovereigns/pc-15811,http://pc.ign.com/articles/165/165811p1.html,22.88 USD,8.5,PC,"Mar 15, 2001","http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505",Great,8.3,Violence,T for Teen,Great
Tecmo,Music,Tecmo,"Venture 200 years into the future to the vividly colorful, high-tech city of Twin Ships in

. Dancing has been prohibited and anyone caught will be immediately arrested and banished from the city. It's up to you to convince the local dictator Ducker to lift his restriction on dancing. But it's going to take the performance of a lifetime to show how great a world it can be when everyone is free to dance. Team up with the master- Dr. Dance, and be a member of the Ultra-hip dance unit UNiSON!",UNiSON,http://www.ign.com/games/unison/ps2-14412,http://ps2.ign.com/articles/164/164412p1.html,55.99 USD,8.3,PS2,"March 26, 2001","http://www.ign.com/games/amplitude/ps2-17285,http://www.ign.com/games/guitar-hero-ii/ps2-823033,http://www.ign.com/games/guitar-hero-iii-legends-of-rock/ps2-899095,http://www.ign.com/games/amplitude/ps2-17285,http://www.ign.com/games/mortal-kombat-shaolin-monks/ps2-709115,http://www.ign.com/games/atari-racing-collection/ps2-483265,http://www.ign.com/games/shin-megami-tensei-persona-4/ps2-14241813,http://www.ign.com/games/god-of-war-ii/ps2-811719,http://www.ign.com/games/god-of-war-ii/ps2-888576",Good,7.5,Mild Lyrics,E for Everyone,Great
